reviews__|	reviews__|__date	reviews__|__score	reviews__|__name	score_breakdown__Value for money	score_breakdown__Free WiFi	score_breakdown__Cleanliness	score_breakdown__Comfort	score_breakdown__Facilities	score_breakdown__Location	score_breakdown__Staff	score	name	location
R100	"Reviewed: March 5, 2019"	10	Elizabbetta	7.6	7	7.5	7.1	7.3	9.1	7.4	7.7	Inn Rambuttri Village Plaza	"95 Soi Ram Buttri, Chakkra Phong Road, Phra Nakorn, 10200 Bangkok, Thailand"
R70	"Reviewed: March 19, 2019"	7.9	Jasonroh										
R71	"Reviewed: March 19, 2019"	5.4	Marzia										
R72	"Reviewed: March 18, 2019"	6.3	Weronika										
R73	"Reviewed: March 18, 2019"	7.5	Norbert										
R74	"Reviewed: March 18, 2019"	6.3	Johana										
R75	"Reviewed: March 18, 2019"	3.8	Magdalena										
R76	"Reviewed: March 18, 2019"	2.5	John										
R77	"Reviewed: March 16, 2019"	9.6	Barry										
R34	"Reviewed: April 5, 2019"	7.9	Cynthia										
R38	"Reviewed: April 4, 2019"	10	Mike										
R36	"Reviewed: April 4, 2019"	6.7	Danilo										
R37	"Reviewed: April 4, 2019"	8.8	Susan										
R30	"Reviewed: April 7, 2019"	7.9	Maria										
R31	"Reviewed: April 7, 2019"	8.8	Lesley										
R32	"Reviewed: April 7, 2019"	3.8	Esther										
R39	"Reviewed: April 3, 2019"	9.6	Mateusz										
R4	"Reviewed: April 21, 2019"	6.7	Amanda										
R5	"Reviewed: April 20, 2019"	7.5	Nadine.xx										
R6	"Reviewed: April 19, 2019"	6.7	Philip										
R7	"Reviewed: April 18, 2019"	4.2	Celia										
R1	"Reviewed: April 23, 2019"	7.1	Chowdhury										
R2	"Reviewed: April 23, 2019"	8.8	Barry										
R3	"Reviewed: April 21, 2019"	7.9	AnyWhere I will Go.										
R8	"Reviewed: April 17, 2019"	8.3	Isabelle										
R9	"Reviewed: April 17, 2019"	6.7	Anonymous										
R89	"Reviewed: March 9, 2019"	3.3	Kevin										
R78	"Reviewed: March 15, 2019"	8.3	Robert										
R35	"Reviewed: April 5, 2019"	7.1	James										
R81	"Reviewed: March 14, 2019"	10	Artur										
R80	"Reviewed: March 15, 2019"	7.9	Mickaël										
R83	"Reviewed: March 12, 2019"	8.3	David										
R82	"Reviewed: March 12, 2019"	3.8	Rui										
R85	"Reviewed: March 11, 2019"	8.3	Rakesh										
R84	"Reviewed: March 11, 2019"	9.6	Simon 83										
R87	"Reviewed: March 10, 2019"	6.7	Thomas										
R86	"Reviewed: March 11, 2019"	7.1	Anonymous										
R79	"Reviewed: March 15, 2019"	7.1	Tomá_										
R45	"Reviewed: March 31, 2019"	9.2	Anonymous										
R44	"Reviewed: March 31, 2019"	3.3	Leo										
R47	"Reviewed: March 29, 2019"	4.6	Jan										
R46	"Reviewed: March 30, 2019"	10	Carallyn										
R41	"Reviewed: April 1, 2019"	8.3	Mayara										
R40	"Reviewed: April 2, 2019"	10	Robert										
R43	"Reviewed: March 31, 2019"	5.8	Ale_										
R42	"Reviewed: April 1, 2019"	7.5	Ds										
R33	"Reviewed: April 5, 2019"	10	Cecília										
R49	"Reviewed: March 27, 2019"	10	Tishbi										
R48	"Reviewed: March 28, 2019"	4.6	Marcus										
R98	"Reviewed: March 5, 2019"	7.9	Maciej										
R99	"Reviewed: March 5, 2019"	6.7	Eliza										
R96	"Reviewed: March 6, 2019"	6.3	Stuart										
R97	"Reviewed: March 6, 2019"	7.9	Max										
R94	"Reviewed: March 7, 2019"	6.7	Ben										
R95	"Reviewed: March 6, 2019"	7.9	Natalia										
R92	"Reviewed: March 7, 2019"	5.4	Eleonore										
R93	"Reviewed: March 7, 2019"	7.9	Franziska										
R90	"Reviewed: March 9, 2019"	6.7	Margareta										
R91	"Reviewed: March 8, 2019"	8.8	Arsa Suyadnya										
R16	"Reviewed: April 14, 2019"	6.7	Alesandrasa										
R17	"Reviewed: April 13, 2019"	7.1	Terumi										
R14	"Reviewed: April 15, 2019"	8.8	World Traveller 68										
R15	"Reviewed: April 15, 2019"	7.1	Taras										
R12	"Reviewed: April 16, 2019"	5	Justine										
R13	"Reviewed: April 16, 2019"	7.9	Claire										
R10	"Reviewed: April 17, 2019"	8.8	Lucie										
R11	"Reviewed: April 16, 2019"	4.2	Justine										
R18	"Reviewed: April 12, 2019"	6.3	Thomas										
R19	"Reviewed: April 11, 2019"	8.3	Florin										
R58	"Reviewed: March 24, 2019"	7.9	Yenny										
R59	"Reviewed: March 23, 2019"	7.1	colin cupples										
R52	"Reviewed: March 25, 2019"	10	Åsa										
R53	"Reviewed: March 25, 2019"	7.5	Anonymous										
R50	"Reviewed: March 25, 2019"	6.7	Tomas										
R51	"Reviewed: March 25, 2019"	2.5	Adiv										
R56	"Reviewed: March 24, 2019"	8.8	Lucie										
R57	"Reviewed: March 24, 2019"	6.3	Emma										
R54	"Reviewed: March 25, 2019"	4.6	Robert										
R55	"Reviewed: March 24, 2019"	7.9	Hert										
R29	"Reviewed: April 8, 2019"	10	Paula										
R28	"Reviewed: April 8, 2019"	7.5	CarolJM										
R25	"Reviewed: April 9, 2019"	7.5	RAUTOIU ALEXANDRA										
R24	"Reviewed: April 9, 2019"	8.3	Agnieszka										
R88	"Reviewed: March 10, 2019"	3.3	Millan										
R63	"Reviewed: March 21, 2019"	7.1	Dan										
R62	"Reviewed: March 21, 2019"	8.3	Marta										
R61	"Reviewed: March 21, 2019"	6.7	Kerrie										
R60	"Reviewed: March 23, 2019"	8.3	David										
R67	"Reviewed: March 19, 2019"	7.1	ron.dob										
R66	"Reviewed: March 20, 2019"	7.5	Emil										
R65	"Reviewed: March 20, 2019"	5.4	Iga										
R64	"Reviewed: March 20, 2019"	9.2	Mark										
R27	"Reviewed: April 8, 2019"	6.3	María										
R26	"Reviewed: April 9, 2019"	7.5	Ray										
R69	"Reviewed: March 19, 2019"	6.3	Rodrigo										
R68	"Reviewed: March 19, 2019"	4.6	Nicola										
R23	"Reviewed: April 9, 2019"	6.3	Vladimir										
R22	"Reviewed: April 10, 2019"	5.8	Charlene										
R21	"Reviewed: April 10, 2019"	9.6	Mihai										
R20	"Reviewed: April 11, 2019"	9.6	William										
R29	"Reviewed: August 11, 2018"	9.6	Jasmine	8.8	10	9.6	9.4	9.3	9.6	9.5	9.4	Apartment 3 Bedroom Apartment at Sukhumvi	"Citismart Condominium, Sukhumvit Soi 18, Khlong Toei, 10110 Bangkok, Thailand"
R16	"Reviewed: October 31, 2017"	9.6	Amelia										
R17	"Reviewed: September 3, 2017"	9.6	Ling										
R14	"Reviewed: November 29, 2017"	10	Anonymous										
R15	"Reviewed: November 22, 2017"	9.2	______										
R12	"Reviewed: January 7, 2018"	7.5	Rose										
R13	"Reviewed: December 27, 2017"	7.5	Girish										
R10	"Reviewed: January 27, 2018"	10	Florentina										
R11	"Reviewed: January 19, 2018"	10	Michael										
R18	"Reviewed: August 26, 2017"	10	Ai										
R19	"Reviewed: August 24, 2017"	10	Viorica										
R38	"Reviewed: August 4, 2017"	10	Anonymous										
R39	"Reviewed: March 28, 2016"	9.6	Tanya										
R34	"Reviewed: April 7, 2018"	10	Anonymous										
R35	"Reviewed: March 29, 2018"	10	Saulius										
R36	"Reviewed: March 24, 2018"	10	Chienwen										
R37	"Reviewed: October 30, 2017"	10	Niels										
R30	"Reviewed: July 31, 2018"	7.5	Bander										
R31	"Reviewed: May 26, 2018"	10	Daphne										
R32	"Reviewed: April 19, 2018"	10	Yuki Chang										
R33	"Reviewed: April 9, 2018"	10	Chongmeng										
R4	"Reviewed: December 18, 2018"	9.6	Susan										
R5	"Reviewed: October 10, 2018"	9.2	Anonymous										
R6	"Reviewed: August 15, 2018"	9.6	Ching										
R7	"Reviewed: July 25, 2018"	9.6	Sandra										
R1	"Reviewed: January 18, 2019"	10	Christian										
R2	"Reviewed: January 16, 2019"	9.2	Richard										
R3	"Reviewed: January 3, 2019"	9.2	Devarajan										
R28	"Reviewed: August 29, 2018"	10	Raymond										
R8	"Reviewed: May 17, 2018"	10	Boyke										
R9	"Reviewed: January 28, 2018"	10	M										
R45	"Reviewed: November 6, 2015"	9.6	Sabiha										
R44	"Reviewed: March 22, 2016"	10	Sarah										
R46	"Reviewed: June 23, 2015"	8.3	Aditya_sahi										
R41	"Reviewed: December 1, 2015"	10	Jasmine										
R40	"Reviewed: December 11, 2015"	10	Kalyani										
R43	"Reviewed: July 4, 2015"	9.6	Chia										
R42	"Reviewed: October 10, 2015"	10	Mteddym										
R27	"Reviewed: November 30, 2018"	10	Anonymous										
R26	"Reviewed: December 4, 2018"	10	Katie										
R25	"Reviewed: January 7, 2019"	10	Gemma										
R24	"Reviewed: January 10, 2019"	10	Emilda										
R23	"Reviewed: June 2, 2017"	10	Rumani										
R22	"Reviewed: July 21, 2017"	10	feifei62										
R21	"Reviewed: July 27, 2017"	10	Claire										
R20	"Reviewed: August 3, 2017"	10	Steffen										
R100	"Reviewed: February 21, 2015"	7.1	Minaz	8	7.5	8.7	8.7	8.2	8	8.6	8.4	 Century Park 	"9 Ratchaprarop Rd., Pratunam-Victory Monument, 10400 Bangkok, Thailand"
R70	"Reviewed: April 23, 2016"	4.2	Mark										
R71	"Reviewed: March 21, 2016"	9.6	Rajeev										
R72	"Reviewed: March 16, 2016"	7.5	Richard										
R73	"Reviewed: March 15, 2016"	9.6	Amrit										
R74	"Reviewed: March 6, 2016"	9.6	Anonymous										
R75	"Reviewed: January 29, 2016"	7.5	E_fenty										
R76	"Reviewed: November 30, 2015"	9.2	Nabil										
R77	"Reviewed: April 25, 2015"	9.2	Nik										
R34	"Reviewed: February 5, 2019"	10	John										
R38	"Reviewed: December 30, 2018"	10	Mickey										
R36	"Reviewed: January 29, 2019"	9.6	Kene										
R37	"Reviewed: January 12, 2019"	7.5	Konchok										
R30	"Reviewed: April 19, 2019"	7.5	Janos										
R31	"Reviewed: April 17, 2019"	10	Jakkjakk										
R32	"Reviewed: March 11, 2019"	9.6	Anonymous										
R39	"Reviewed: December 30, 2018"	10	Denis										
R4	"Reviewed: February 7, 2019"	9.6	Christopher										
R5	"Reviewed: January 20, 2019"	9.2	Anonymous										
R6	"Reviewed: October 30, 2018"	9.6	Christian										
R7	"Reviewed: September 12, 2018"	9.6	Guy										
R1	"Reviewed: April 19, 2019"	10	Emily										
R2	"Reviewed: April 16, 2019"	10	Skye										
R3	"Reviewed: February 17, 2019"	7.5	John										
R8	"Reviewed: September 6, 2018"	9.2	Nitish										
R9	"Reviewed: August 22, 2018"	8.3	Radovan										
R89	"Reviewed: March 10, 2016"	8.8	Amy										
R78	"Reviewed: April 6, 2015"	10	Jimmy										
R35	"Reviewed: January 31, 2019"	9.6	Warren										
R81	"Reviewed: February 16, 2015"	7.9	Neri										
R80	"Reviewed: March 4, 2015"	6.7	Susan										
R83	"Reviewed: February 5, 2015"	7.9	Alice										
R82	"Reviewed: February 10, 2015"	9.6	Candice										
R85	"Reviewed: January 11, 2015"	8.8	Mara										
R84	"Reviewed: January 16, 2015"	9.6	Michelle										
R87	"Reviewed: April 26, 2016"	10	Paresh										
R86	"Reviewed: January 6, 2015"	7.5	Rajeet										
R79	"Reviewed: March 5, 2015"	7.5	Anonymous										
R45	"Reviewed: August 28, 2018"	8.8	Kevin										
R44	"Reviewed: October 3, 2018"	8.3	Denise										
R47	"Reviewed: March 15, 2018"	9.6	Lee										
R46	"Reviewed: April 12, 2018"	10	Ann										
R41	"Reviewed: November 6, 2018"	9.6	Kevin										
R40	"Reviewed: December 11, 2018"	5	Antony										
R43	"Reviewed: October 10, 2018"	10	John										
R42	"Reviewed: October 28, 2018"	8.8	Mark										
R33	"Reviewed: February 8, 2019"	10	Dorothy										
R49	"Reviewed: February 22, 2018"	8.8	Charles										
R48	"Reviewed: February 26, 2018"	10	Evans										
R98	"Reviewed: July 27, 2015"	7.1	Metha										
R99	"Reviewed: May 8, 2015"	10	Anonymous										
R96	"Reviewed: November 27, 2015"	5.8	Shawn										
R97	"Reviewed: September 11, 2015"	9.6	David										
R94	"Reviewed: January 4, 2016"	8.8	Zion										
R95	"Reviewed: December 11, 2015"	8.3	Josephine										
R92	"Reviewed: February 11, 2016"	7.5	Thowhidul										
R93	"Reviewed: January 19, 2016"	8.8	Anonymous										
R90	"Reviewed: March 1, 2016"	9.6	Jade										
R91	"Reviewed: February 12, 2016"	2.5	Nobody										
R16	"Reviewed: March 3, 2018"	9.2	Menon										
R17	"Reviewed: February 24, 2018"	8.3	Jacob_Lindgren										
R14	"Reviewed: May 3, 2018"	5.8	Anonymous										
R15	"Reviewed: March 4, 2018"	6.7	Nixie W K										
R12	"Reviewed: May 6, 2018"	4.6	Chilli										
R13	"Reviewed: May 4, 2018"	10	Jack										
R10	"Reviewed: June 13, 2018"	9.2	Chris										
R11	"Reviewed: May 7, 2018"	9.6	James Whitson Higbie										
R18	"Reviewed: January 26, 2018"	8.8	Michael										
R19	"Reviewed: January 15, 2018"	7.5	Anonymous										
R58	"Reviewed: December 19, 2017"	10	Anonymous										
R59	"Reviewed: November 11, 2017"	10	Brian										
R52	"Reviewed: January 18, 2018"	2.9	Gene										
R53	"Reviewed: January 10, 2018"	10	Anonymous										
R50	"Reviewed: February 6, 2018"	9.6	Jackie										
R51	"Reviewed: February 1, 2018"	9.6	Christian										
R56	"Reviewed: December 29, 2017"	7.5	Kamaludin										
R57	"Reviewed: December 27, 2017"	7.5	Nguyen										
R54	"Reviewed: January 7, 2018"	7.5	Anonymous										
R55	"Reviewed: January 7, 2018"	9.2	Roger										
R29	"Reviewed: April 20, 2019"	9.2	Anonymous										
R28	"Reviewed: May 2, 2017"	8.8	Tawhidul										
R25	"Reviewed: June 20, 2017"	5.8	Samuel										
R24	"Reviewed: September 28, 2017"	10	Russell										
R88	"Reviewed: March 16, 2016"	6.7	John										
R63	"Reviewed: August 17, 2017"	7.5	Ratana										
R62	"Reviewed: September 8, 2017"	9.6	Anonymous										
R61	"Reviewed: September 13, 2017"	10	Mizuki904										
R60	"Reviewed: October 28, 2017"	10	Abdulah										
R67	"Reviewed: May 21, 2017"	9.2	Achara										
R66	"Reviewed: July 18, 2017"	10	Christian										
R65	"Reviewed: July 25, 2017"	7.5	Anonymous										
R64	"Reviewed: July 29, 2017"	9.6	Kevin										
R27													
R26	"Reviewed: May 15, 2017"	10	Fred										
R69	"Reviewed: May 24, 2016"	9.6	Msafiri										
R68	"Reviewed: April 27, 2017"	5.8	Pinanong										
R23	"Reviewed: November 14, 2017"	9.2	David										
R22	"Reviewed: December 8, 2017"	9.2	Nigel										
R21	"Reviewed: December 17, 2017"	5.8	Olov										
R20	"Reviewed: January 3, 2018"	8.8	Hassan										
R4	"Reviewed: June 28, 2018"	9.2	Eric	9.1	9.2	9.7	9.5	9.5	8.4	9.6	9.3	" Vacation Bangkok, The Artistic Hom"	"762, 764 Thanon Chroen Rat, Khlong Ton Sai, Khlong San, 10600 Bangkok, Thailand"
R5	"Reviewed: March 19, 2018"	8.3	Tugba										
R6	"Reviewed: March 4, 2018"	8.8	Traveller										
R7													
R1	"Reviewed: March 22, 2019"	9.6	Karen										
R2	"Reviewed: December 5, 2018"	10	Valeria Yaroshenko										
R3	"Reviewed: August 15, 2018"	10	Oya										
R8	"Reviewed: February 21, 2018"	10	mICHAELtOO										
R9	"Reviewed: February 10, 2018"	10	Anonymous										
R16	"Reviewed: February 20, 2018"	10	Luo										
R17	"Reviewed: February 19, 2018"	10	Andrew										
R14	"Reviewed: January 3, 2018"	9.2	Sw										
R15	"Reviewed: March 28, 2018"	9.6	Deividas Kasperas										
R12	"Reviewed: January 28, 2018"	10	Nathalia										
R13	"Reviewed: January 6, 2018"	10	Jo										
R10	"Reviewed: February 3, 2018"	10	Anew										
R11													
R18	"Reviewed: February 7, 2018"	10	Valeria Yaroshenko										
R100	"Reviewed: August 11, 2017"	8.3	Salama	8.1	8.9	9.3	9.2	9.2	9.6	9.2	9.1	 Siam Kempinski Hotel Bangkok	"991/9 Rama I Road, Pathumwan, Pathumwan, 10330 Bangkok, Thailand"
R70	"Reviewed: January 27, 2018"	8.3	Mohammad Bushlaibi										
R71	"Reviewed: January 14, 2018"	9.2	Nicole										
R72	"Reviewed: January 8, 2018"	9.2	Cheng										
R73	"Reviewed: January 6, 2018"	10	Amina										
R74	"Reviewed: January 3, 2018"	9.6	Poyen										
R75													
R76	"Reviewed: December 14, 2017"	7.9	Angela										
R77	"Reviewed: December 9, 2017"	8.8	Sameera										
R34	"Reviewed: November 6, 2018"	9.6	overhex										
R38	"Reviewed: September 9, 2018"	10	Abdulrahman										
R36	"Reviewed: October 28, 2018"	9.6	Catherine										
R37	"Reviewed: September 26, 2018"	5.8	Anonymous										
R30	"Reviewed: December 4, 2018"	9.6	Ibrahim										
R31	"Reviewed: November 27, 2018"	9.2	Toni										
R32	"Reviewed: November 10, 2018"	9.6	Bernhard										
R39	"Reviewed: September 6, 2018"	9.6	Catherine										
R4	"Reviewed: March 29, 2019"	10	Anonymous										
R5	"Reviewed: March 16, 2019"	10	Ruben van der Graaf										
R6	"Reviewed: March 11, 2019"	8.8	Indiana										
R7	"Reviewed: March 6, 2019"	7.1	Anonymous										
R1	"Reviewed: April 22, 2019"	6.7	Ahmad										
R2	"Reviewed: April 8, 2019"	9.6	Salem										
R3	"Reviewed: April 4, 2019"	9.6	Lance Pattinson										
R8	"Reviewed: February 24, 2019"	4.5	Tien										
R9	"Reviewed: February 24, 2019"	7.1	Anonymous										
R89	"Reviewed: September 29, 2017"	10	Andreas										
R78	"Reviewed: December 1, 2017"	8.8	Man										
R35	"Reviewed: October 30, 2018"	9.6	Mandeel										
R81	"Reviewed: November 16, 2017"	9.6	Puneet										
R80	"Reviewed: November 29, 2017"	10	Matthew										
R83	"Reviewed: October 26, 2017"	6.7	Wun										
R82	"Reviewed: November 4, 2017"	9.6	Bernhard										
R85													
R84	"Reviewed: October 23, 2017"	10	Noora										
R87	"Reviewed: October 8, 2017"	7.1	Judith										
R86	"Reviewed: October 21, 2017"	9.6	Mike										
R79													
R45	"Reviewed: June 21, 2018"	10	Dr										
R44													
R47													
R46	"Reviewed: June 11, 2018"	10	Angeline										
R41	"Reviewed: August 7, 2018"	10	Regine										
R40	"Reviewed: August 24, 2018"	9.2	Rie										
R43	"Reviewed: July 12, 2018"	9.6	Mariam										
R42	"Reviewed: July 22, 2018"	10	Sids										
R33	"Reviewed: November 10, 2018"	9.6	Shahnia										
R49	"Reviewed: May 31, 2018"	10	Abdullah										
R48	"Reviewed: June 10, 2018"	10	Donald Peter Mojuntin										
R98	"Reviewed: August 27, 2017"	9.6	Anonymous										
R99	"Reviewed: August 16, 2017"	10	Saleh										
R96	"Reviewed: September 2, 2017"	8.8	Ali										
R97	"Reviewed: August 29, 2017"	8.8	ZeroDefine										
R94	"Reviewed: September 12, 2017"	9.6	Mansoor										
R95	"Reviewed: September 8, 2017"	5.4	Muna										
R92													
R93	"Reviewed: September 14, 2017"	10	Akbar										
R90	"Reviewed: September 28, 2017"	9.2	Anil										
R91	"Reviewed: September 26, 2017"	10	Lukmal										
R16	"Reviewed: February 11, 2019"	7.9	Anonymous										
R17	"Reviewed: February 8, 2019"	9.2	Si										
R14													
R15	"Reviewed: February 12, 2019"	9.2	Fei										
R12	"Reviewed: February 22, 2019"	10	Darijus										
R13	"Reviewed: February 18, 2019"	10	Koji										
R10	"Reviewed: February 23, 2019"	5.4	Anonymous										
R11	"Reviewed: February 22, 2019"	10	Haim										
R18	"Reviewed: January 22, 2019"	9.6	bo-voyage										
R19	"Reviewed: January 19, 2019"	9.6	Ali										
R58	"Reviewed: April 1, 2018"	9.6	Suzzette										
R59													
R52	"Reviewed: May 12, 2018"	10	Q_ubaisi										
R53	"Reviewed: May 5, 2018"	10	Siti										
R50	"Reviewed: May 29, 2018"	8.8	Yuichiro										
R51	"Reviewed: May 24, 2018"	8.3	Laura										
R56	"Reviewed: April 19, 2018"	10	Mohammed										
R57	"Reviewed: April 9, 2018"	10	Larry and Cindy Girard										
R54	"Reviewed: April 30, 2018"	9.6	Soum										
R55	"Reviewed: April 23, 2018"	10	Ebrahim										
R29	"Reviewed: December 4, 2018"	10	Doha										
R28	"Reviewed: December 7, 2018"	9.2	Zheng										
R25	"Reviewed: December 29, 2018"	9.6	Charlotte										
R24	"Reviewed: December 31, 2018"	7.9	Liz										
R88	"Reviewed: October 4, 2017"	6.7	David										
R63	"Reviewed: February 27, 2018"	9.6	Chingchi										
R62	"Reviewed: March 7, 2018"	10	___										
R61	"Reviewed: March 7, 2018"	9.2	Danny										
R60	"Reviewed: March 20, 2018"	10	NDY4										
R67	"Reviewed: February 4, 2018"	7.5	Sabariah										
R66	"Reviewed: February 15, 2018"	10	Diogo										
R65	"Reviewed: February 16, 2018"	10	Shamma										
R64	"Reviewed: February 26, 2018"	9.6	Ka										
R27	"Reviewed: December 10, 2018"	9.6	Dimitar										
R26	"Reviewed: December 26, 2018"	6.7	overhex										
R69	"Reviewed: January 28, 2018"	9.6	Bibilia										
R68	"Reviewed: January 29, 2018"	9.6	Catherine										
R23	"Reviewed: January 4, 2019"	10	Baz										
R22	"Reviewed: January 4, 2019"	10	Salem										
R21	"Reviewed: January 6, 2019"	10	Kevin										
R20	"Reviewed: January 8, 2019"	10	Grace										
R100	"Reviewed: September 24, 2018"	5.8	Tran	8	7.8	8.6	8.4	8.3	8.4	8.8	8.4	 Le Tada Residenc	"440/9 Ratchawithi Soi 3, Pratunam, Ratchathewi, Pathumwan, 10400 Bangkok, Thailand"
R70	"Reviewed: October 17, 2017"	9.6	Anya										
R71	"Reviewed: August 31, 2017"	9.6	Rosita057										
R72	"Reviewed: August 16, 2017"	7.5	Regina										
R73	"Reviewed: August 6, 2017"	7.9	Corina										
R74	"Reviewed: August 1, 2017"	7.5	J. Dijkhuizen										
R75	"Reviewed: July 22, 2017"	8.3	Corina										
R76	"Reviewed: April 23, 2019"	9.2	Zhiying										
R77	"Reviewed: April 20, 2019"	10	Nalinda										
R34	"Reviewed: May 5, 2018"	9.2	Daphne										
R38	"Reviewed: April 19, 2018"	6.7	Damrid										
R36	"Reviewed: April 30, 2018"	7.9	Louise										
R37	"Reviewed: April 25, 2018"	5.8	Marcus										
R30	"Reviewed: June 6, 2018"	8.3	iemiem										
R31	"Reviewed: June 4, 2018"	7.1	Parakh										
R32	"Reviewed: May 18, 2018"	9.6	Katie										
R39	"Reviewed: April 19, 2018"	8.3	Asanka Gihan										
R4	"Reviewed: December 28, 2018"	8.3	Anonymous										
R5													
R6	"Reviewed: December 17, 2018"	9.2	Technomade										
R7	"Reviewed: December 15, 2018"	8.3	Jane										
R1	"Reviewed: January 8, 2019"	10	Kwan										
R2	"Reviewed: January 5, 2019"	10	Yi										
R3	"Reviewed: December 29, 2018"	2.5	Samantha										
R8	"Reviewed: November 28, 2018"	9.2	Tristan										
R9	"Reviewed: November 27, 2018"	8.3	Ginggoppy										
R89	"Reviewed: December 6, 2018"	7.5	Hooi										
R78	"Reviewed: March 17, 2019"	7.5	Kit										
R35													
R81	"Reviewed: February 24, 2019"	7.1	Rose										
